Games;Points
1;25
2;46
3;54
4;61
5;84
6;101
7;118
8;136
9;146
10;168
11;182
12;210
13;229
14;244
15;259
16;265
17;298
18;317
19;321
20;329
21;347
22;370
23;407
24;434
25;451
26;487
27;519
28;541
29;575
30;593
31;625
32;647
33;661
34;675
35;696
36;715
37;731
38;758
39;787
40;816
41;832
42;859
43;879
44;917
45;929
46;961
47;975
48;989
49;1013
50;1022
51;1038
52;1070
53;1092
54;1113
55;1124
56;1154
57;1172
58;1196
59;1215
60;1239
61;1273
62;1287
63;1313
64;1330
65;1344
66;1359
67;1384
68;1400
69;1441
70;1459
71;1487
72;1507
73;1541
74;1562
75;1576
76;1600
77;1610
78;1637
79;1654
80;1682
81;1703
82;1734
83;1759
84;1797
85;1821
86;1854
87;1873
88;1898
89;1911
90;1954
91;1974
92;2000
93;2022
94;2037
95;2054
96;2081
97;2108
98;2127
99;2150
100;2181
101;2206
102;2217
103;2248
104;2274
105;2297
106;2319
107;2359
108;2362
109;2388
110;2408
111;2430
112;2459
113;2487
114;2514
115;2549
116;2576
117;2594
118;2622
119;2653
120;2680
121;2708
122;2739
123;2769
124;2784
125;2819
126;2844
127;2872
128;2898
129;2925
130;2946
131;2974
132;2994
133;3026
134;3060
135;3083
136;3106
137;3141
138;3177
139;3211
140;3227
141;3283
142;3312
143;3331
144;3350
145;3394
146;3416
147;3442
148;3477
149;3514
150;3538
151;3558
152;3595
153;3635
154;3668
155;3695
156;3733
157;3770
158;3802
159;3829
160;3860
161;3880
162;3916
163;3943
164;3974
165;3990
166;4016
167;4053
168;4069
169;4105
170;4141
171;4160
172;4198
173;4226
174;4260
175;4290
176;4320
177;4352
178;4404
179;4443
180;4469
181;4510
182;4535
183;4572
184;4586
185;4618
186;4649
187;4679
188;4711
189;4743
190;4778
191;4814
192;4842
193;4888
194;4917
195;4941
196;4955
197;5006
198;5029
199;5067
200;5097
201;5141
202;5171
203;5197
204;5226
205;5257
206;5279
207;5314
208;5332
209;5365
210;5409
211;5452
212;5478
213;5511
214;5536
215;5558
216;5584
217;5603
218;5636
219;5673
220;5690
221;5725
222;5750
223;5797
224;5833
225;5860
226;5889
227;5926
228;5962
229;5998
230;6044
231;6091
232;6126
233;6163
234;6199
235;6236
236;6268
237;6290
238;6307
239;6333
240;6368
241;6384
242;6418
243;6437
244;6475
245;6504
246;6536
247;6573
248;6593
249;6608
250;6638
251;6668
252;6693
253;6720
254;6751
255;6772
256;6798
257;6825
258;6840
259;6862
260;6884
261;6913
262;6950
263;6976
264;7008
265;7035
266;7067
267;7100
268;7119
269;7151
270;7159
271;7178
272;7212
273;7246
274;7274
275;7304
276;7327
277;7357
278;7389
279;7407
280;7446
281;7476
282;7493
283;7511
284;7532
285;7543
286;7572
287;7590
288;7613
289;7651
290;7680
291;7709
292;7738
293;7773
294;7812
295;7848
296;7880
297;7921
298;7953
299;7979
300;8008
301;8032
302;8069
303;8100
304;8121
305;8139
306;8165
307;8189
308;8228
309;8259
310;8294
311;8319
312;8339
313;8374
314;8397
315;8415
316;8439
317;8449
318;8494
319;8521
320;8545
321;8577
322;8603
323;8625
324;8652
325;8691
326;8731
327;8765
328;8810
329;8847
330;8877
331;8915
332;8930
333;8947
334;8976
335;8997
336;9028
337;9060
338;9093
339;9118
340;9143
341;9167
342;9188
343;9224
344;9248
345;9287
346;9309
347;9340
348;9371
349;9422
350;9449
351;9477
352;9500
353;9536
354;9577
355;9614
356;9642
357;9675
358;9707
359;9733
360;9763
361;9792
362;9831
363;9857
364;9888
365;9921
366;9946
367;9981
368;10007
369;10037
370;10074
371;10124
372;10163
373;10201
374;10225
375;10267
376;10292
377;10325
378;10355
379;10385
380;10414
381;10443
